item	itemLabel	wordnet_id	MESH	CUI	ICD-10	SNOMED-CT	wordnet30_id	sense
http://www.wikidata.org/entity/Q7254	Affenpinscher	02113279-n					02110627-n	affenpinscher%1:05:00:: monkey_dog%1:05:00:: monkey_pinscher%1:05:00::
http://www.wikidata.org/entity/Q7386	Formicidae	02222138-n	D001000				02219486-n	emmet%1:05:00:: ant%1:05:00:: pismire%1:05:00::
http://www.wikidata.org/entity/Q7434	uniform	04516887-n					04509592-n	uniform%1:06:00::
http://www.wikidata.org/entity/Q7533	zucchini	07732103-n					07716358-n	courgette%1:13:00:: zucchini%1:13:00::
http://www.wikidata.org/entity/Q7895	reproductive system	05516797-n					05509146-n	reproductive_system%1:08:00:: genital_system%1:08:00::
http://www.wikidata.org/entity/Q8377	oboe	03844419-n					03838899-n	hautboy%1:06:00:: oboe%1:06:00:: hautbois%1:06:00::
http://www.wikidata.org/entity/Q9149	fundamentalism	06241447-n					06231328-n	fundamentalism%1:09:00::
http://www.wikidata.org/entity/Q9190	Exodus	06444385-n					06432715-n	exodus%1:10:00:: book_of_exodus%1:10:00::
http://www.wikidata.org/entity/Q9479	iPod	03589423-n					03584254-n	ipod%1:06:00::
http://www.wikidata.org/entity/Q9639	intestine	05541966-n	D007422	C0021853			05534333-n	gut%1:08:00:: intestine%1:08:00:: bowel%1:08:00::
http://www.wikidata.org/entity/Q9748	concerto	07057021-n					07043275-n	concerto%1:10:00::
http://www.wikidata.org/entity/Q10990	meat	07665463-n	D008460				07649854-n	meat%1:13:01::
http://www.wikidata.org/entity/Q11072	amnesia	05680235-n	D000647	C0002622			05672391-n	memory_loss%1:09:00:: blackout%1:09:01:: amnesia%1:09:00::
http://www.wikidata.org/entity/Q11072	amnesia	05680235-n	D000647	C0002625			05672391-n	memory_loss%1:09:00:: blackout%1:09:01:: amnesia%1:09:00::
http://www.wikidata.org/entity/Q11090	small intestine	05542345-n	D007421	C0021852			05534712-n	small_intestine%1:08:00::
http://www.wikidata.org/entity/Q11106	bacon	07686178-n					07670433-n	bacon%1:13:00::
http://www.wikidata.org/entity/Q11264	Cuban Revolution	01306425-n					01303934-n	cuban_revolution%1:04:00::
http://www.wikidata.org/entity/Q11384	wide area network	04590763-n					04583477-n	wan%1:06:00:: wide_area_network%1:06:00::
http://www.wikidata.org/entity/Q11395	domestication	00195106-n	D000071278				00194257-n	domestication%1:04:00::
http://www.wikidata.org/entity/Q11460	clothing	03423924-n	D003020				03419014-n	garment%1:06:00::
http://www.wikidata.org/entity/Q11629	art of painting	00938436-n					00936620-n	painting%1:04:00::
http://www.wikidata.org/entity/Q11990	reproduction	05770480-n	D012098				05762483-n	reproductive_memory%1:09:00:: reproduction%1:09:00::
http://www.wikidata.org/entity/Q12360	bottle opener	02881204-n					02877962-n	bottle_opener%1:06:00::
http://www.wikidata.org/entity/Q12408	caliper	02943283-n					02939866-n	calliper%1:06:00:: caliper%1:06:00::
