item	wordnet_id	MESH	CUI
http://www.wikidata.org/entity/Q10571	09367346-n		
http://www.wikidata.org/entity/Q10686	08908706-n		
http://www.wikidata.org/entity/Q10965	09294321-n		
http://www.wikidata.org/entity/Q11235	04611367-n		
http://www.wikidata.org/entity/Q11376	05067952-n	D000054	
http://www.wikidata.org/entity/Q11378	09551861-n		
http://www.wikidata.org/entity/Q11380	09553121-n		
http://www.wikidata.org/entity/Q11420	00827434-n		
http://www.wikidata.org/entity/Q11426	14649636-n	D008670	
http://www.wikidata.org/entity/Q11436	02689427-n	D000401	
http://www.wikidata.org/entity/Q11466	05733323-n	D013696	
http://www.wikidata.org/entity/Q11608	11089075-n		
http://www.wikidata.org/entity/Q11633	00621794-n	D010781	
http://www.wikidata.org/entity/Q11690	09145446-n		
http://www.wikidata.org/entity/Q11707	04088393-n	D012147	
http://www.wikidata.org/entity/Q11812	11101818-n		
http://www.wikidata.org/entity/Q11881	11374140-n		
http://www.wikidata.org/entity/Q11891	11260723-n		
http://www.wikidata.org/entity/Q12124	09242638-n		
http://www.wikidata.org/entity/Q12193	08954467-n		
http://www.wikidata.org/entity/Q12325	10889518-n		
http://www.wikidata.org/entity/Q12518	04467365-n		
http://www.wikidata.org/entity/Q12544	08818528-n	D018612	
http://www.wikidata.org/entity/Q12560	09061072-n	D057214	
http://www.wikidata.org/entity/Q12620	08963234-n		
http://www.wikidata.org/entity/Q12623	14029034-n		
http://www.wikidata.org/entity/Q12871	11321409-n		
http://www.wikidata.org/entity/Q12876	04396120-n		
http://www.wikidata.org/entity/Q12892	08869733-n		
http://www.wikidata.org/entity/Q12970	09257561-n		
http://www.wikidata.org/entity/Q12985	09228222-n		
http://www.wikidata.org/entity/Q13080	09215444-n		
http://www.wikidata.org/entity/Q13082	13506728-n	D009681	
http://www.wikidata.org/entity/Q13353	08729133-n		
http://www.wikidata.org/entity/Q14660	02161498-n		
http://www.wikidata.org/entity/Q19075	01745462-n		
http://www.wikidata.org/entity/Q19551	01801480-n		
http://www.wikidata.org/entity/Q26013	01313835-n		
http://www.wikidata.org/entity/Q111907436	05340350-n		
http://www.wikidata.org/entity/Q27914	10721432-n		
http://www.wikidata.org/entity/Q28260	09132519-n		
http://www.wikidata.org/entity/Q28271	09116801-n		
http://www.wikidata.org/entity/Q28626	10962667-n		
http://www.wikidata.org/entity/Q28848	09125985-n		
http://www.wikidata.org/entity/Q30908	10718145-n		
http://www.wikidata.org/entity/Q32102	09581885-n		
http://www.wikidata.org/entity/Q33231	10446513-n		
http://www.wikidata.org/entity/Q33264	09138546-n		
http://www.wikidata.org/entity/Q33561	09138874-n		
http://www.wikidata.org/entity/Q33629	09347024-n		
http://www.wikidata.org/entity/Q33866	11289687-n		
http://www.wikidata.org/entity/Q34286	10861809-n		
http://www.wikidata.org/entity/Q34876	14539235-n		
http://www.wikidata.org/entity/Q34969	10999075-n		
http://www.wikidata.org/entity/Q35155	11269702-n		
http://www.wikidata.org/entity/Q35367	09370105-n		
http://www.wikidata.org/entity/Q35591	09481921-n		
http://www.wikidata.org/entity/Q35654	09303479-n		
http://www.wikidata.org/entity/Q35678	11051664-n		
http://www.wikidata.org/entity/Q36402	15193232-n		
http://www.wikidata.org/entity/Q37064	10992817-n		
http://www.wikidata.org/entity/Q37083	12321697-n		
http://www.wikidata.org/entity/Q37193	11128390-n		
http://www.wikidata.org/entity/Q37278	11107602-n		
http://www.wikidata.org/entity/Q37562	10959032-n		
http://www.wikidata.org/entity/Q37615	11247091-n		
http://www.wikidata.org/entity/Q37879	09410517-n		
http://www.wikidata.org/entity/Q38203	11119075-n		
http://www.wikidata.org/entity/Q38555	09138978-n		
http://www.wikidata.org/entity/Q39266	10513420-n		
http://www.wikidata.org/entity/Q39978	11230095-n		
http://www.wikidata.org/entity/Q40348	10269647-n	D033241	
http://www.wikidata.org/entity/Q40662	11107349-n		
http://www.wikidata.org/entity/Q40852	11102125-n		
http://www.wikidata.org/entity/Q40874	11149468-n		
http://www.wikidata.org/entity/Q40946	10947021-n		
http://www.wikidata.org/entity/Q41148	11308808-n		
http://www.wikidata.org/entity/Q41508	11198912-n		
http://www.wikidata.org/entity/Q41680	09582027-n		
http://www.wikidata.org/entity/Q41683	11361609-n		
http://www.wikidata.org/entity/Q41746	09617472-n		
http://www.wikidata.org/entity/Q41921	11243386-n		
http://www.wikidata.org/entity/Q41980	10950047-n		
http://www.wikidata.org/entity/Q42008	14016420-n		
http://www.wikidata.org/entity/Q42156	10866100-n		
http://www.wikidata.org/entity/Q42930	11074437-n		
http://www.wikidata.org/entity/Q42985	11247196-n		CL563787
http://www.wikidata.org/entity/Q43041	15048807-n	D006454	
http://www.wikidata.org/entity/Q43292	10693754-n		
http://www.wikidata.org/entity/Q43527	11323693-n		
http://www.wikidata.org/entity/Q43689	10835252-n		
http://www.wikidata.org/entity/Q43919	09156897-n		
http://www.wikidata.org/entity/Q43922	11147986-n		
http://www.wikidata.org/entity/Q44281	11091167-n		
http://www.wikidata.org/entity/Q44459	00109247-n		
http://www.wikidata.org/entity/Q44555	10934531-n		
http://www.wikidata.org/entity/Q44626	15151313-n		
http://www.wikidata.org/entity/Q44741	11258716-n		
http://www.wikidata.org/entity/Q44928	02850869-n		
http://www.wikidata.org/entity/Q45341	09294197-n		
http://www.wikidata.org/entity/Q45713	09595603-n		
http://www.wikidata.org/entity/Q45765	11157738-n		
http://www.wikidata.org/entity/Q45792	10844492-n		
http://www.wikidata.org/entity/Q46802	06442826-n		
http://www.wikidata.org/entity/Q46830	11077920-n		
http://www.wikidata.org/entity/Q46834	13425137-n		
http://www.wikidata.org/entity/Q46868	11248143-n		
http://www.wikidata.org/entity/Q47038	05310398-n	D002610	C0007966
http://www.wikidata.org/entity/Q47092	00774891-n	D011902	
http://www.wikidata.org/entity/Q47228	06636295-n		
http://www.wikidata.org/entity/Q47534	09534847-n		
http://www.wikidata.org/entity/Q47716	09161253-n		
http://www.wikidata.org/entity/Q48214	08809019-n		
http://www.wikidata.org/entity/Q48296	06869239-n		
http://www.wikidata.org/entity/Q48544	10932203-n		
http://www.wikidata.org/entity/Q49179	09120463-n		
http://www.wikidata.org/entity/Q49201	09116050-n		
http://www.wikidata.org/entity/Q49229	09151209-n		
http://www.wikidata.org/entity/Q49546	14624684-n	D000096	C0001002
